,index,key,file_name,file_path,jpg_path,cluster_index
183,183,5326530,5326530.jpg,data/raw/orignal_images/5326530.jpg,data/processed/transformed_images/5326530.jpg,-1
184,184,4000369,4000369.jpg,data/raw/orignal_images/4000369.jpg,data/processed/transformed_images/4000369.jpg,-1
185,185,5234610,5234610.jpg,data/raw/orignal_images/5234610.jpg,data/processed/transformed_images/5234610.jpg,50
186,186,4000797,4000797.jpg,data/raw/orignal_images/4000797.jpg,data/processed/transformed_images/4000797.jpg,-1
187,187,5251452,5251452.jpg,data/raw/orignal_images/5251452.jpg,data/processed/transformed_images/5251452.jpg,-1
188,188,4000731,4000731.jpg,data/raw/orignal_images/4000731.jpg,data/processed/transformed_images/4000731.jpg,-1
189,189,4000537,4000537.jpg,data/raw/orignal_images/4000537.jpg,data/processed/transformed_images/4000537.jpg,51
190,190,5251774,5251774.jpg,data/raw/orignal_images/5251774.jpg,data/processed/transformed_images/5251774.jpg,52
191,191,5338300,5338300.jpg,data/raw/orignal_images/5338300.jpg,data/processed/transformed_images/5338300.jpg,43
192,192,5164559,5164559.jpg,data/raw/orignal_images/5164559.jpg,data/processed/transformed_images/5164559.jpg,-1
193,193,4000993,4000993.jpg,data/raw/orignal_images/4000993.jpg,data/processed/transformed_images/4000993.jpg,-1
194,194,5338428,5338428.jpg,data/raw/orignal_images/5338428.jpg,data/processed/transformed_images/5338428.jpg,40
195,195,5316842,5316842.jpg,data/raw/orignal_images/5316842.jpg,data/processed/transformed_images/5316842.jpg,-1
196,196,4001571,4001571.jpg,data/raw/orignal_images/4001571.jpg,data/processed/transformed_images/4001571.jpg,-1
197,197,5338592,5338592.jpg,data/raw/orignal_images/5338592.jpg,data/processed/transformed_images/5338592.jpg,-1
198,198,5254745,5254745.jpg,data/raw/orignal_images/5254745.jpg,data/processed/transformed_images/5254745.jpg,-1
199,199,4000463,4000463.jpg,data/raw/orignal_images/4000463.jpg,data/processed/transformed_images/4000463.jpg,53
200,200,4000065,4000065.jpg,data/raw/orignal_images/4000065.jpg,data/processed/transformed_images/4000065.jpg,54
201,201,5251572,5251572.jpg,data/raw/orignal_images/5251572.jpg,data/processed/transformed_images/5251572.jpg,-1
202,202,5338750,5338750.jpg,data/raw/orignal_images/5338750.jpg,data/processed/transformed_images/5338750.jpg,-1
203,203,5338612,5338612.jpg,data/raw/orignal_images/5338612.jpg,data/processed/transformed_images/5338612.jpg,-1
204,204,5254873,5254873.jpg,data/raw/orignal_images/5254873.jpg,data/processed/transformed_images/5254873.jpg,-1
205,205,5234098,5234098.jpg,data/raw/orignal_images/5234098.jpg,data/processed/transformed_images/5234098.jpg,-1
206,206,5236035,5236035.jpg,data/raw/orignal_images/5236035.jpg,data/processed/transformed_images/5236035.jpg,-1
207,207,5359466,5359466.jpg,data/raw/orignal_images/5359466.jpg,data/processed/transformed_images/5359466.jpg,55
208,208,5254893,5254893.jpg,data/raw/orignal_images/5254893.jpg,data/processed/transformed_images/5254893.jpg,-1
209,209,4001415,4001415.jpg,data/raw/orignal_images/4001415.jpg,data/processed/transformed_images/4001415.jpg,-1
210,210,5340094,5340094.jpg,data/raw/orignal_images/5340094.jpg,data/processed/transformed_images/5340094.jpg,-1
211,211,5251694,5251694.jpg,data/raw/orignal_images/5251694.jpg,data/processed/transformed_images/5251694.jpg,56
212,212,3969587,3969587.jpg,data/raw/orignal_images/3969587.jpg,data/processed/transformed_images/3969587.jpg,57
213,213,5326688,5326688.jpg,data/raw/orignal_images/5326688.jpg,data/processed/transformed_images/5326688.jpg,-1
214,214,4001031,4001031.jpg,data/raw/orignal_images/4001031.jpg,data/processed/transformed_images/4001031.jpg,36
215,215,5251730,5251730.jpg,data/raw/orignal_images/5251730.jpg,data/processed/transformed_images/5251730.jpg,58
216,216,5326694,5326694.jpg,data/raw/orignal_images/5326694.jpg,data/processed/transformed_images/5326694.jpg,-1
217,217,5359564,5359564.jpg,data/raw/orignal_images/5359564.jpg,data/processed/transformed_images/5359564.jpg,13
218,218,3999855,3999855.jpg,data/raw/orignal_images/3999855.jpg,data/processed/transformed_images/3999855.jpg,-1
219,219,5234530,5234530.jpg,data/raw/orignal_images/5234530.jpg,data/processed/transformed_images/5234530.jpg,-1
220,220,5236059,5236059.jpg,data/raw/orignal_images/5236059.jpg,data/processed/transformed_images/5236059.jpg,-1
221,221,4001045,4001045.jpg,data/raw/orignal_images/4001045.jpg,data/processed/transformed_images/4001045.jpg,39
222,222,5359548,5359548.jpg,data/raw/orignal_images/5359548.jpg,data/processed/transformed_images/5359548.jpg,-1
223,223,5326542,5326542.jpg,data/raw/orignal_images/5326542.jpg,data/processed/transformed_images/5326542.jpg,-1
224,224,5316640,5316640.jpg,data/raw/orignal_images/5316640.jpg,data/processed/transformed_images/5316640.jpg,-1
225,225,5326720,5326720.jpg,data/raw/orignal_images/5326720.jpg,data/processed/transformed_images/5326720.jpg,-1
226,226,5359390,5359390.jpg,data/raw/orignal_images/5359390.jpg,data/processed/transformed_images/5359390.jpg,-1
227,227,5316668,5316668.jpg,data/raw/orignal_images/5316668.jpg,data/processed/transformed_images/5316668.jpg,59
228,228,4000067,4000067.jpg,data/raw/orignal_images/4000067.jpg,data/processed/transformed_images/4000067.jpg,54
229,229,3999687,3999687.jpg,data/raw/orignal_images/3999687.jpg,data/processed/transformed_images/3999687.jpg,-1
